"Setting 'non_existing' specifies the non-existing file ''.","Setting 'non_existing' specifies the non-existing file ''."
"Setting 'item_label' specifies the non-existing file '%1Item Label.dist'.","Setting 'item_label' specifies the non-existing file '%1Item Label.dist'."
"Synthetic model update failure.","Synthetic model update failure."
"command not found","command not found"
"Incorrect CAPTCHA.","Incorrect CAPTCHA."
"All valid rates have been saved.","All valid rates have been saved."
"Please correct the input data for %1 => %2 rate","Please correct the input data for %1 => %2 rate"
"The customer does not have default billing address.","The customer does not have default billing address."
"Customer View","Customer View"
"If there is an account associated with %1 you will receive an email with a link to reset your password.","If there is an account associated with %1 you will receive an email with a link to reset your password."
"Fixture String","Fixture String"
"Message with ""%1"" and ""%2""","Message with ""%1"" and ""%2"""
"Init action problem.","Init action problem."
"Construction problem.","Construction problem."
"Prepare layout problem.","Prepare layout problem."
"Customer My Account (All Pages)","Customer My Account (All Pages)"
"All Empty Layout Pages","All Empty Layout Pages"
entity_label_1,entity_label_1
entity_label_2,entity_label_2
"Catalog Search","Catalog Search"
"Rebuild Catalog product fulltext search index","Rebuild Catalog product fulltext search index"
"Consumer Key","Consumer Key"
"Consumer Secret","Consumer Secret"
"Access Token","Access Token"
"Access Token Secret","Access Token Secret"
"Not you?","Not you?"
"Welcome, %1!","Welcome, %1!"
"<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>","<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>"
"All Reviews of Customer `%1`","All Reviews of Customer `%1`"
"simple text","simple text"
"simple text with 1 string literal placeholder %1","simple text with 1 string literal placeholder %1"
"simple text with 1 variable placeholder %1","simple text with 1 variable placeholder %1"
"simple text with multiple placeholders %1 %2","simple text with multiple placeholders %1 %2"
"first part second part","first part second part"
"first part second part third part","first part second part third part"
"first part second part with one string literal placeholder %1","first part second part with one string literal placeholder %1"
"first part of concat second part with one variable placeholder %1","first part of concat second part with one variable placeholder %1"
"first part of concat second part with two placeholders %1, %2","first part of concat second part with two placeholders %1, %2"
"first part of concat second part third part with one placeholder %1","first part of concat second part third part with one placeholder %1"
"first part of concat second part third part with two placeholders %1, %2","first part of concat second part third part with two placeholders %1, %2"
"string with escaped 'single quotes'","string with escaped 'single quotes'"
"string with placeholder in escaped single quotes '%1'","string with placeholder in escaped single quotes '%1'"
"string with ""double quotes""","string with ""double quotes"""
"string with placeholder in double quotes ""%1""","string with placeholder in double quotes ""%1"""
"string with 'single quotes'","string with 'single quotes'"
"string with placeholder in single quotes '%1'","string with placeholder in single quotes '%1'"
"string with escaped ""double quotes""","string with escaped ""double quotes"""
"string with placeholder in escaped double quotes ""%1""","string with placeholder in escaped double quotes ""%1"""
Helper,Helper
Model,Model
"Module template","Module template"
"Theme template","Theme template"
"Model unused","Model unused"
"Theme template unused","Theme template unused"
None,None
"Unlocked %1 user(s).","Unlocked %1 user(s)."
bla,bla
"Invalid secure URL.","Invalid secure URL."
"Invalid path: %1","Invalid path: %1"
phrase,phrase
Exception,Exception
message,message
"Not Valid!","Not Valid!"
"Read Details","Read Details"
"Mark as Read","Mark as Read"
"Are you sure?","Are you sure?"
Remove,Remove
"Messages Inbox","Messages Inbox"
"You have %1 new system messages","You have %1 new system messages"
"You have %1 new system message","You have %1 new system message"
"Incoming Message","Incoming Message"
close,close
Notifications,Notifications
"The message has been marked as Read.","The message has been marked as Read."
"We couldn\'t mark the notification as Read because of an error.","We couldn\'t mark the notification as Read because of an error."
"Please select messages.","Please select messages."
"A total of %1 record(s) have been marked as Read.","A total of %1 record(s) have been marked as Read."
"Total of %1 record(s) have been removed.","Total of %1 record(s) have been removed."
"We couldn\'t remove the messages because of an error.","We couldn\'t remove the messages because of an error."
"The message has been removed.","The message has been removed."
"1 Hour","1 Hour"
"2 Hours","2 Hours"
"6 Hours","6 Hours"
"12 Hours","12 Hours"
"24 Hours","24 Hours"
critical,critical
major,major
minor,minor
notice,notice
"Wrong message type","Wrong message type"
"Wrong notification ID specified.","Wrong notification ID specified."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>."
"One or more of the Cache Types are invalidated: %1. ","One or more of the Cache Types are invalidated: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Please go to <a href=""%1"">Cache Management</a> and refresh cache types."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","We were unable to synchronize one or more media files. Please refer to the log file for details."
"Synchronization of media storages has been completed.","Synchronization of media storages has been completed."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider."
"Close popup","Close popup"
Close,Close
"System Messages:","System Messages:"
"Critical System Messages","Critical System Messages"
"Major System Messages","Major System Messages"
"System messages","System messages"
"See All (","See All ("
" unread)"," unread)"
"Please correct the data sent.","Please correct the data sent."
"Entity type model '%1' is not found","Entity type model '%1' is not found"
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType"
"There are no product types available for export","There are no product types available for export"
"We can't find the role for the user you wanted.","We can't find the role for the user you wanted."
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log."
"You created the order.","You created the order."
"Order saving error: %1","Order saving error: %1"
"Please choose a payment method.","Please choose a payment method."
"We can't process your order right now. Please try again later.","We can't process your order right now. Please try again later."
"Cannot place order.","Cannot place order."
"Credit Card: xxxx-%1","Credit Card: xxxx-%1"
"amount %1","amount %1"
failed.,failed.
successful.,successful.
"Authorize.Net Transaction ID %1.","Authorize.Net Transaction ID %1."
authorize,authorize
"authorize and capture","authorize and capture"
capture,capture
refund,refund
void,void
"Gateway error: %1","Gateway error: %1"
"Something went wrong in the payment gateway.","Something went wrong in the payment gateway."
"Invalid amount for capture.","Invalid amount for capture."
"Payment capturing error.","Payment capturing error."
"Invalid transaction ID.","Invalid transaction ID."
"Payment voiding error.","Payment voiding error."
"Invalid amount for refund.","Invalid amount for refund."
"Payment refunding error.","Payment refunding error."
"The transaction was declined because the response hash validation failed.","The transaction was declined because the response hash validation failed."
"This payment didn't work out because we can't find this order.","This payment didn't work out because we can't find this order."
"There was a payment authorization error.","There was a payment authorization error."
"Please enter a transaction ID to authorize this payment.","Please enter a transaction ID to authorize this payment."
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","Transaction %1 has been approved. Amount %2. Transaction status is ""%3"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3."
"Authorize Only","Authorize Only"
"Authorize and Capture","Authorize and Capture"
"Unable to get transaction details. Try again later.","Unable to get transaction details. Try again later."
"Credit Card Type","Credit Card Type"
"Credit Card Number","Credit Card Number"
"Expiration Date","Expiration Date"
"Card Verification Number","Card Verification Number"
"Fraud Detection ","Fraud Detection "
"FDS Filter Action","FDS Filter Action"
"AVS Response","AVS Response"
"Card Code Response","Card Code Response"
"CAVV Response","CAVV Response"
"Fraud Filters","Fraud Filters"
"Invalid Form Key. Please refresh the page.","Invalid Form Key. Please refresh the page."
"You entered an invalid Secret Key. Please refresh the page.","You entered an invalid Secret Key. Please refresh the page."
"Cache Storage Management","Cache Storage Management"
"Flush Magento Cache","Flush Magento Cache"
"The cache storage may contain additional data. Are you sure that you want to flush it?","The cache storage may contain additional data. Are you sure that you want to flush it?"
"Flush Cache Storage","Flush Cache Storage"
Invalidated,Invalidated
Orders,Orders
Amounts,Amounts
Bestsellers,Bestsellers
"Most Viewed Products","Most Viewed Products"
"New Customers","New Customers"
Customers,Customers
Customer,Customer
Guest,Guest
Items,Items
Total,Total
"Lifetime Sales","Lifetime Sales"
"Average Order","Average Order"
Average,Average
Product,Product
Price,Price
Quantity,Quantity
Views,Views
Revenue,Revenue
Tax,Tax
Shipping,Shipping
"Images (.gif, .jpg, .png)","Images (.gif, .jpg, .png)"
"Media (.avi, .flv, .swf)","Media (.avi, .flv, .swf)"
"All Files","All Files"
"Reset to Default","Reset to Default"
"All Store Views","All Store Views"
"What is this?","What is this?"
"Save Account","Save Account"
"My Account","My Account"
"Account Information","Account Information"
"User Name","User Name"
"First Name","First Name"
"Last Name","Last Name"
Email,Email
"User Email","User Email"
"New Password","New Password"
"Password Confirmation","Password Confirmation"
"Interface Locale","Interface Locale"
"Current User Identity Verification","Current User Identity Verification"
"Your Password","Your Password"
"Save Cache Settings","Save Cache Settings"
"Catalog Rewrites","Catalog Rewrites"
Refresh,Refresh
"Images Cache","Images Cache"
Clear,Clear
"Search Index","Search Index"
Rebuild,Rebuild
"Inventory Stock Status","Inventory Stock Status"
"Rebuild Catalog Index","Rebuild Catalog Index"
"Rebuild Flat Catalog Category","Rebuild Flat Catalog Category"
"Rebuild Flat Catalog Product","Rebuild Flat Catalog Product"
"Cache Control","Cache Control"
"All Cache","All Cache"
"No change","No change"
Disable,Disable
Enable,Enable
"Add Design Change","Add Design Change"
Back,Back
Delete,Delete
Save,Save
"Edit Design Change","Edit Design Change"
"New Store Design Change","New Store Design Change"
"General Settings","General Settings"
Store,Store
"Custom Design","Custom Design"
"Date From","Date From"
"Date To","Date To"
"Design Change","Design Change"
General,General
Cancel,Cancel
"Delete %1 '%2'","Delete %1 '%2'"
"Delete %1","Delete %1"
"Block Information","Block Information"
"Backup Options","Backup Options"
"Create DB Backup","Create DB Backup"
Yes,Yes
No,No
"Delete Store","Delete Store"
"Delete Web Site","Delete Web Site"
"Save Web Site","Save Web Site"
"Save Store","Save Store"
"Save Store View","Save Store View"
"Delete Store View","Delete Store View"
"Edit Web Site","Edit Web Site"
"New Web Site","New Web Site"
"Edit Store","Edit Store"
